map_10dl_1min_no_rs, map_10dl_1min_yes_rs, map_10dl_2min_no_rs, map_15dl_1min_no_rs, map_15dl_2min_no_rs, map_15dl_2min_yes_rs, map_20dl_1min_no_rs, map_20dl_2min_no_rs, map_20dl_2min_yes_rs, map_20dl_3min_no_rs, map_20dl_3min_yes_rs
1.127246900589149732e+02,1.127252924105661265e+02,1.127237657203581733e+02,1.127249218824907047e+02,1.127260411905288890e+02,1.127245384509958512e+02,1.127278092634518600e+02,1.127265006190490055e+02,1.127263778085428925e+02,1.127240245509291583e+02,1.127252890389362108e+02
1.093869972595155815e+02,1.093873982431063610e+02,1.093855745680904192e+02,1.093869381667070826e+02,1.093882120015034758e+02,1.093866114582787361e+02,1.093893931048309724e+02,1.093877123578023003e+02,1.093881992609925646e+02,1.093869278055000080e+02,1.093873270294063218e+02
1.066988717034050467e+02,1.066993779848730668e+02,1.066978225572369610e+02,1.066985719861277317e+02,1.067003335117929623e+02,1.066982184049380038e+02,1.067008902688147600e+02,1.066986880855193078e+02,1.066999277570008360e+02,1.066995198084565857e+02,1.066988952886428876e+02
1.050192870793123205e+02,1.050203979935073164e+02,1.050200087671154137e+02,1.050195520445536346e+02,1.050212652433675231e+02,1.050186970444754735e+02,1.050215433075973976e+02,1.050192019127655954e+02,1.050204792408616612e+02,1.050206104310655917e+02,1.050195922832714785e+02
1.040707128104948112e+02,1.040723399526279422e+02,1.040730029523316489e+02,1.040718290860765478e+02,1.040728483792488532e+02,1.040707827845607909e+02,1.040733201646679902e+02,1.040716441239665215e+02,1.040718592928982957e+02,1.040724064244105449e+02,1.040716231508339291e+02
1.034704648370749283e+02,1.034727278665781256e+02,1.034732168662205112e+02,1.034725892092875910e+02,1.034729541993129800e+02,1.034720924316601156e+02,1.034735269347591071e+02,1.034731318668201965e+02,1.034719134696690617e+02,1.034724298111514287e+02,1.034720055204360136e+02
1.031261741598291479e+02,1.031285928162603227e+02,1.031282640409248899e+02,1.031288638919745466e+02,1.031287130312491342e+02,1.031289470921671949e+02,1.031293813229457754e+02,1.031295732342979221e+02,1.031276716999879284e+02,1.031278136606898386e+02,1.031276156813867857e+02
1.031532570576520271e+02,1.031554052197779612e+02,1.031545145330918842e+02,1.031556751602874584e+02,1.031551842324966799e+02,1.031561281524979421e+02,1.031561718349013148e+02,1.031559360371542198e+02,1.031544669839734496e+02,1.031538929104910522e+02,1.031538116389894952e+02
1.035590427963384599e+02,1.035607688859247730e+02,1.035601902946291801e+02,1.035608675810624391e+02,1.035606036975177489e+02,1.035613499168842964e+02,1.035615983710137016e+02,1.035606528493399026e+02,1.035602649503482553e+02,1.035587758524652884e+02,1.035590059332739514e+02
1.041410987890066906e+02,1.041419681373842963e+02,1.041419687404407171e+02,1.041423603937277278e+02,1.041423615509028338e+02,1.041421050346133228e+02,1.041432345152714163e+02,1.041417567412337633e+02,1.041419410351649049e+02,1.041403451519420145e+02,1.041413684827020916e+02
1.046806747370405475e+02,1.046802309710576822e+02,1.046807359012370853e+02,1.046815012585958442e+02,1.046811970865332597e+02,1.046801712781926170e+02,1.046823409799218325e+02,1.046809320428978793e+02,1.046807678531451700e+02,1.046796199553652684e+02,1.046815308198221999e+02
1.051090838878932345e+02,1.051073528812896143e+02,1.051083535969752063e+02,1.051091041048191386e+02,1.051085002764820615e+02,1.051078178917132959e+02,1.051100832508311669e+02,1.051092317364133919e+02,1.051084682782801281e+02,1.051076791776047941e+02,1.051097168054313755e+02
1.054243307940572976e+02,1.054222076583902918e+02,1.054229553912981601e+02,1.054235044415549112e+02,1.054225605295772539e+02,1.054230574885117306e+02,1.054243784656523957e+02,1.054242636899602985e+02,1.054232398227090073e+02,1.054227736949685692e+02,1.054239874965155082e+02
1.055259504229415199e+02,1.055243956888625405e+02,1.055235721846274970e+02,1.055246911744218465e+02,1.055235184190381545e+02,1.055249476201285148e+02,1.055247920446953316e+02,1.055252734715520546e+02,1.055243692940755125e+02,1.055243927097600505e+02,1.055245563002652602e+02
1.052535358701874912e+02,1.052526643083422471e+02,1.052501982587702400e+02,1.052522734737957535e+02,1.052517741316324447e+02,1.052528008282792484e+02,1.052519350734626329e+02,1.052518832734549932e+02,1.052515560408397022e+02,1.052523462335850013e+02,1.052516786661563941e+02
